country,n_total,n_pcl,pcl_rate,f1,recall,precision
MY,116,8,0.069,0.75,0.75,0.75
HK,93,9,0.097,0.667,0.556,0.833
KE,114,13,0.114,0.667,0.692,0.643
NZ,101,12,0.119,0.632,0.5,0.857
JM,104,10,0.096,0.593,0.8,0.471
GH,84,12,0.143,0.588,0.417,1.0
SG,95,4,0.042,0.571,0.5,0.667
GB,127,9,0.071,0.556,0.556,0.556
NG,108,15,0.139,0.552,0.533,0.571
IE,112,10,0.089,0.526,0.5,0.556
LK,85,9,0.106,0.5,0.444,0.571
IN,104,7,0.067,0.5,0.571,0.444
ZA,110,11,0.1,0.5,0.545,0.462
PK,109,14,0.128,0.5,0.5,0.5
TZ,94,11,0.117,0.471,0.364,0.667
CA,118,8,0.068,0.462,0.375,0.6
PH,105,15,0.143,0.452,0.467,0.438
US,114,10,0.088,0.417,0.5,0.357
BD,103,7,0.068,0.4,0.429,0.375
AU,98,5,0.051,0.353,0.6,0.25
